"Wallet statement"
"Address count with BTC balance:";1
"Starting balance 2024-05-01";0.00;BTC;0.00;USD
"Ending balance 2024-06-01";0.00;BTC;0.00;USD
"Total received";5922.49348419;BTC
"Total sent";0.00;BTC

"Start period";2024-05-01
"End period";2024-06-01
"Transactions involving the addresses:"
"Tx number";"Affected address/xpub";Effect;Ticker;"Amount fiat (USD)";"Asset rate (USD)";Date;"Transaction hash"
15;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.25421658;BTC;6365075.05;63489.35;"2024-05-07 04:42:27";e58a75c6a1e17517199d1ce8db658c4e7b356bdcd5276d9aa6c6830d133270af
16;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0.000555;BTC;35.44;63857.14;"2024-05-06 15:13:00";48cb050e51b107e1cc31a8229b5556c21ead078014ba4659c86d79d1b6d6eb7f
17;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0.00000666;BTC;0.42;63748.93;"2024-05-05 22:38:12";82db05d4470676299bfeaf222d3bcf950e3d28e703cdef38d0cf54ae17cdb5a3
18;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.55574273;BTC;6447009.39;63482.47;"2024-05-04 01:30:16";b2b9e6b6c15d0579bb1eff226ef8cd2d522965c96374184582571ccaa45f74a0
19;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.15243122;BTC;6260251.94;60689.33;"2024-05-03 22:37:46";a9ac4a65aa4ae7f873148f4c085eca3f4f53e2660149e048b46ab102ef1b9dac
20;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.07306931;BTC;6073367.53;60689.33;"2024-05-03 18:47:47";809ffeedb83a3dff49a83ac83eec7eef9f508355d2b1361416cfb8135aa6e853
21;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.52386892;BTC;6100726.25;60689.33;"2024-05-03 06:01:20";450e203da6f374ee215257b37a4c1bed5c689aa05de65f727c36f7f5577ed049
22;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.90731391;BTC;6123997.27;60689.33;"2024-05-03 03:59:51";08b57943a150968c772eb5e1ad594e1b9774d97d992cdf3782248f1cc4e5ef05
23;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.16806959;BTC;5845117.38;58353.10;"2024-05-02 21:34:36";7cbedc55c655c4cd630ccf50a3ffc387d5aee5954a66320f1379779b9c2daad4
24;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.4506584;BTC;5861607.31;58353.10;"2024-05-02 20:10:55";01069987fe485573ce442bacbb91b8e714e88fdb18e8bd5c89f366d3c53a5e02
25;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.16812475;BTC;5845120.60;58353.10;"2024-05-02 20:10:55";17083c4bf7456fd7acf52e279bcfe86fec79c9f03ff01315e3fc07b928d57fa8
26;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.20692709;BTC;5847384.84;58353.10;"2024-05-02 19:38:42";556ff4232d9de700788292734dc2535311e14c0a73c75eb81d816bc987248fdd
27;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.48154034;BTC;5863409.37;58353.10;"2024-05-02 17:03:41";2b503d8646882beea055ff92d1eb6ab9ff3fa660183719f549f5113930d6410c
28;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.8382725;BTC;5884225.80;58353.10;"2024-05-02 16:50:38";9270479c2a0156e19081357fb94db6aeeaca61fc73a4e3b544a6905c09d5090d
29;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.86979144;BTC;5886065.03;58353.10;"2024-05-02 16:40:45";57586a969c93e2690920eedb25a11be89ce3d4cd9fc1eb5393ed027849ede7b2
30;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.25775012;BTC;5908703.62;58353.10;"2024-05-02 16:40:45";6f913b63cc1823c742f62e1b7ac047915e501c7b1813fd79f8837fae81baf6cb
31;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.08836804;BTC;5898819.65;58353.10;"2024-05-02 15:09:23";dd540d666f83af9cc04fe892c1be460c606ba892e0de1301e9db7291f64bd3d9
32;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.76469122;BTC;5879932.10;58353.10;"2024-05-02 14:49:52";2121180aeb723ccda552adaa0df31216b3c4de85b6189e7bdc7fa1d6e5d07fb1
33;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.01834991;BTC;6011440.07;58353.10;"2024-05-02 14:49:52";f9a68de9f7380a44a931707a03745e60bd33aca146126ad1446ba185933a8fa2
34;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.44476444;BTC;5861263.38;58353.10;"2024-05-02 14:49:52";0ec0d13ee8d36d91184f96cbd35875115d9b00aeee1e8be79253e3ca4c1006e5
35;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.1598048;BTC;5902988.21;58353.10;"2024-05-02 14:49:02";b724fad568fd9e1db266a56c8f7b45bef595daa59383aee065ce4cc6ccd47e49
36;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.47061572;BTC;5979478.09;58353.10;"2024-05-02 14:42:48";c190a0181454af7ad3edfd3437a5fe93d2cde931cf677d7aa411891d6436e68b
37;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.1302682;BTC;5959617.75;58353.10;"2024-05-02 14:18:18";2a4d7f8bf6e45816d7ae157cb22c97ade97c5db079ddb1f0786e5e54e4377a43
38;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.62129276;BTC;5988270.56;58353.10;"2024-05-02 14:18:18";dce94c3c6e83a9f50617745763786ca0038f7077403286117d486dbbdffc7ffc
39;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.43108543;BTC;5977171.37;58353.10;"2024-05-02 13:40:56";7ae575220c9b4efaf7822110eaf15ce31b819049f3f64565dbbaed57a3f9d35f
40;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;104.70597216;BTC;6109918.06;58353.10;"2024-05-02 13:40:56";28a5121d78090354c99135933916c11d9fc5c5fd9cc652345e125e86b63fcaa0
41;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.45566229;BTC;6036958.61;58353.10;"2024-05-02 13:40:56";e843044e1387c22e0ffe63fba5d3ab69782f9d83f774a530bd5d9c411a169ba8
42;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.75516151;BTC;6054435.32;58353.10;"2024-05-02 13:30:31";0b9455b465fd254889385c29403e5d95b62099cec6600e35a491780752167ce2
43;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.29503789;BTC;5969232.58;58353.10;"2024-05-02 13:17:56";9828b5a13f7ea923cc723a3575a5fe2968744c9d5ae723f49d9d35a27e11de42
44;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;104.99760364;BTC;6126935.66;58353.10;"2024-05-02 13:01:11";6ec4c432a902e89af9dcaf6971a06ba703bdaad755ceb9e1617344d3b7cc2bea
45;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.1565507;BTC;5902798.32;58353.10;"2024-05-02 13:01:11";4167f9fbd8c9bc2e53b733de0c43011c7f756e89bf0884d62c0bf63bef9ad175
46;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;105.12208661;BTC;6134199.63;58353.10;"2024-05-02 12:26:40";c312cc2f5bc2e333706904ed7f6f1b079676403ac7c22b3c079f6db49b944c52
47;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.13683672;BTC;6018354.15;58353.10;"2024-05-02 12:26:40";5090fb5361bec0d051e9bd9a00f5d35d0247ebadf08c20d867e5936553218dad
48;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.48647652;BTC;5922050.51;58353.10;"2024-05-02 12:11:17";1c07566142b591ebc16dc4e830fafedca8b63bfc1f7ccd0c40a36f38fc9e0f49
49;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.86447775;BTC;6060814.26;58353.10;"2024-05-02 12:11:17";2004bbfeb98a671ccb065ea5142a78859c08371e2e4a86c7620fd5953f2363d0
50;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.47129504;BTC;5862811.53;58353.10;"2024-05-02 12:10:27";98e73fbee972f47adcebfdd0915d831bf329e036bee04a2585758a798daec77a
51;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.99367686;BTC;5893294.13;58353.10;"2024-05-02 11:43:56";ba5b0c777874de2f2d73e4fea25f4c5cc9fbffdbd2f79956d1e57e62e822dde3
52;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.51619716;BTC;5982137.90;58353.10;"2024-05-02 11:30:49";e1742a0659742ca6200f6c5efab2e5afe7e4df5fe53d7c1d6780c1a4c1452052
53;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;107.44665094;BTC;6269845.17;58353.10;"2024-05-02 11:17:09";dded550f3e1addcd1f5777d6ee00910bd0672e287e035d5036f9a8b0ddb89c06
54;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.97034578;BTC;5891932.68;58353.10;"2024-05-02 11:14:25";d4518a6f85dbb30715f6995fec23b6fdffc43b628ef91d51a7ee9d491352ebe5
55;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.92650433;BTC;6064433.70;58353.10;"2024-05-02 11:02:16";d9807a5e152e2dec69f7660750f9ff44198d06ff4a26e26abc7109b1e0e3ac2e
56;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;103.7109581;BTC;6051855.91;58353.10;"2024-05-02 11:02:16";561d9061e1db498ecbd8d4f3ef89b2e35f072a1894822e34e3843c487fe6fece
57;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.54582034;BTC;5983866.51;58353.10;"2024-05-02 11:02:16";b4e048a247dcc5c5ce081782154c8493017a0ae6c4c0f8661af8098296fccd37
58;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;105.19934968;BTC;6138708.17;58353.10;"2024-05-02 10:33:33";db2db32f40d91194d93440d0ad361af57ad46511214dbbe801af3f477481bcfc
59;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;104.97737529;BTC;6125755.28;58353.10;"2024-05-02 10:33:26";06519fea6655db48b77794254b7ab5e6e20f17fe1110174be3c9f7496bd8286d
60;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.10574407;BTC;5899833.59;58353.10;"2024-05-02 10:08:56";3921cb4b1434890954f91ed541a9225d5a4bd0387b968c9b286f13646aa2ccc6
61;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;105.86100113;BTC;6177317.59;58353.10;"2024-05-02 10:08:56";96e8838a1329dc29fc2e32f9a8d30a8b43b6ff49e79abc34c873a1046ea99142
62;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;108.15852704;BTC;6311385.34;58353.10;"2024-05-02 09:48:37";4748394bf27bafc3b7d09967b80b44199fb24f4d42eaf53cd4888670382afc9b
63;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0.00000546;BTC;0.32;58353.10;"2024-05-02 06:20:21";4422cecd93afdf692b0247dcc736a2d3f1826028204d59648ebe48df36007260
64;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0.00001;BTC;0.58;58353.10;"2024-05-02 03:09:04";9f0f479d5d37db6c8c182f774907312509f22a131352a92644f0c4df683753e7
