Type, Txhash,BlockTime Unix,Date, Fee (SOL),  TokenAccount, ChangeType, SPL BalanceChange, Pre Balancer,PostBalancer,TokenAddress,TokenName(off-chain), Symbol(off-chain),SolTransfer Source,SolTransfer Destination,Amount (SOL)
TokenChange,5iSpajHPJhEADxMiYrNb8xMFxFSKyvp11c3WEmP2yD2bW912QLAj2zuLTSfy5c4k8UmX1pYUCuE1L84p53mPc1Pz,1719368667,2024-06-26T02:24:27,0.000019185,6UvZks5a25e3NnYaGAD1xi9apTQts2APEst4dfDGkASy,inc,178809.0306,,178809.0306,3WuRhxHdwaRyy4d3eMgKbeYiyUyUMq5BLv8ZCJsteEBN,VBIDEN,,,,
TokenChange,3i7VjvJDPnchvgxwx1qxRKPMSYoYHFjDTWqYbTqBj8An32TP418WXaAJ3mN2ntPrAaeDoQHXcRwk2P2R4rVVnzqW,1719357885,2024-06-25T23:24:45,0.000005,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,inc,2382494.859,0,2382494.859,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,3gWgysN4muvdSpR4hbZGkL823eWQRMZcMVME5Nfy5bdfbgrPyHaNGCEqYaXuxS5aLrf4EN1SSXhq2G4DFga95xHq,1719357848,2024-06-25T23:24:08,0.000819916,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,dec,-991591.02,991591.02,0,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,4BZqo3oBNDxTvBHdi7HSmjzCA59n68NcfhcYDjhrgYusF3BZZXjw1D4MbRTS7M4hPHdVNBSghhmAkEXJUJfh9viA,1719357492,2024-06-25T23:18:12,0.001005,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,inc,991591.02,0,991591.02,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,3F8B2NQ2djQbtXan5drgwhBEeSXeJ4aSLjSvZNGWZgknag3c6jpiesgPQC2whBh1nnX5jBqymcxv4nUk8ikovAEJ,1719357128,2024-06-25T23:12:08,0.000924821,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,dec,-1213459.138,1213459.138,0,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,5S1UwdmKDK8HShSH3gmvQG5KX5E3Hbb9o6oYNeWDBnvXrbkRg8QAq8xTuAFNJLmuyV75CYfB5VQFkcRJuBN1rzjy,1719355387,2024-06-25T22:43:07,0.001005,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,inc,121281.2211,1092177.916,1213459.138,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,3jg38kRN71oKpY7d2YwVAqRFMTg3WmZzKASjwXCBGsXFpADCeR2bjhhxpc3LPRUvM6kKYysjA97XgD7UEVyA6pez,1719355265,2024-06-25T22:41:05,0.001005,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,inc,1092177.916,0,1092177.916,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,3Tyyw67fNiWqntpKLuMKzPdpYspBh8iaGouHn7j138GDan5PCYeyxcWGveoM1y9qVwjr3sBwmJRcr4uALMMBtvux,1719355071,2024-06-25T22:37:51,0.001005,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,dec,-359109.6854,359109.6854,0,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,3Q4mqxYf4BshXfBmG7r1W9d2vZKweXWKMmt5dwgdAHAiJfQia2PNXq1kZvXDpeL5KTrJuVBhAMc6ou278xjputdb,1719354754,2024-06-25T22:32:34,0.001005,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,dec,-359109.6854,718219.3708,359109.6854,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,3Sh2DpVx687cXJ5oXT91QbGZkD2nTNikjQx45PEUqTM7s7omtuDgNaDVbQ7Vu1v3UbSUujbS84v8hXsxLn1dKhew,1719354308,2024-06-25T22:25:08,0.000731865,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,inc,489740.3136,228479.0572,718219.3708,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,2MiELcS36RRCUsmkXDDCKwCGe7ALnUbyNsQsDXb2eSKbsXM5xDu9xwhVjDFxELYW6J9qBSVjuBT24o3hwH3cTEMi,1719354264,2024-06-25T22:24:24,0.000005,F17SHQ3VrAFhS9Cz4frWKhwEQq9HND5Xorqzt3ZLy1qi,dec,-842643.9602,842643.9602,0,2m2DgWaD2r2mrYQxDz9o9KZtahK91dvgEXAWUmHppump,Adin Ross,,,,
TokenChange,33iwzTPSJzwibvVGaiKgsyyhrzjRZpx6WTGGCKr6WH5hHxM24ZppdJCWfoqnefFM5shNF7bfgLqdJ6PQtXTmsboA,1719353899,2024-06-25T22:18:19,0.000446542,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,dec,197406.3132,31072.74402,228479.0572,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,q1sshoyvAF3AEs7poWpjm3wEycR4GndgKV36rpgZZFvTKxxmVu32fnYYMqzptAd4xZSoE9ZrnLYWUfEXkuWZccQ,1719353856,2024-06-25T22:17:36,0.001005,F17SHQ3VrAFhS9Cz4frWKhwEQq9HND5Xorqzt3ZLy1qi,inc,-280881.3201,1123525.28,842643.9602,2m2DgWaD2r2mrYQxDz9o9KZtahK91dvgEXAWUmHppump,Adin Ross,,,,
TokenChange,2GtrkaMRYQ5ByEVh2VCcH5j1izwH1jHi2qwd4JsKoYfXUfSXe2ygFF6pEZ5fYKrmmtpYVdntYsZY3kyAmvZCZpGM,1719353790,2024-06-25T22:16:30,0.001005,FTbtQkJn8uZJR7wfMvoSdSyZaU525PkLwqt8p1M2z5jy,inc,31072.74402,,31072.74402,FRDaQWszuFbG7ReUAgqsgrg3iubMQDAQKGGAbLLUpump,Amber Rose,,,,
TokenChange,3LBWVCrEbUcF7qcTa8VMUxBcEMU4TUHRZV6t2eYsWvnXvMqhABSxj49nnpmmddkKbKpVFVq6uJVaLgPpygNnG1zQ,1719353675,2024-06-25T22:14:35,0.000005027,F17SHQ3VrAFhS9Cz4frWKhwEQq9HND5Xorqzt3ZLy1qi,dec,301508.6177,822016.6626,1123525.28,2m2DgWaD2r2mrYQxDz9o9KZtahK91dvgEXAWUmHppump,Adin Ross,,,,
TokenChange,2E6rh3oURf2v3Vohq3DMzr4kP66r4ZSQr9pCMRHRbNEV1yVnXgK8APT3GFpbWRFYtX1Fe3mvRNecnSydnaXMi2Mo,1719353482,2024-06-25T22:11:22,0.000425,CxtSfz75onur4Ja1R4QkMvzPTpak6GY8EDAEG8y1TSzP,dec,-28292.18104,28292.18104,0,B6h248NJkAcBAkaCnji889a26tCiGXGN8cxhEJ4dX391,WATER,,,,
TokenChange,5bFfdLWGUJn247UyMmC1kZkqR92cFbsVkh1EMw1itY7xCwf9RRVq9eu8HV2AVbG2kauCGhXHg1xymxficQS2J3Pn,1719353446,2024-06-25T22:10:46,0.000005011,F17SHQ3VrAFhS9Cz4frWKhwEQq9HND5Xorqzt3ZLy1qi,inc,822016.6626,0,822016.6626,2m2DgWaD2r2mrYQxDz9o9KZtahK91dvgEXAWUmHppump,Adin Ross,,,,
TokenChange,3E34xiy6DwwQJZiYn681HKrS2oVGfuPizvpnEkdr5bFnqMF6oauEHnDzBUx93KbkUvZikf5wVg6sDjZ6up665u4w,1719353403,2024-06-25T22:10:03,0.000162702,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,-2094234.531,2094234.531,0,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,5YgitzQMr1QjBuAweBCQhrf2cDJc7yktUkvKrZp7QbzgNGHvHDtWxRDN5HvEcoXWNTATECZj1FmPmCS1KmhLFWt3,1719353225,2024-06-25T22:07:05,0.000005,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,inc,2094234.531,0,2094234.531,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,yAn6JXXe4KfPPE9v8BPvLMnF25d5izvxUtDHkxWmnJsMs6vr9yzWyXYJbXSDehThKC4FBgL4EYmSJAukStSuRwS,1719352529,2024-06-25T21:55:29,0.000112864,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,-1769274.804,1769274.804,0,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,4YtPsPYPfvBTvPVS2uNhoJQnMcL8JjsnjmfozwKmiodJYkbgDPF8fUEtUXibmNv5eYDQDJxf7gEGsn5FzSN95SaA,1719348024,2024-06-25T20:40:24,0.000005,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,inc,1769274.804,0,1769274.804,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,3oBSi33msY1so4Rh8n9cngV7yjeEcMVHnGZ6wKsk4NcohkF8Hhh9vb1FBUQ6pwLo8NoDHnGxaR7JaCY3Cp3vC41U,1719347986,2024-06-25T20:39:46,0.000083817,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,dec,-2108323.711,2108323.711,0,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,3op2Wx9jSCK35R2pjbepbtkRqwXjXaAKrWbskhxLJRjNwidTuonfzP47gQGMK9fnxP7T4iyv3qye8FwGbZ9WKdFh,1719332396,2024-06-25T16:19:56,0.000565,CxtSfz75onur4Ja1R4QkMvzPTpak6GY8EDAEG8y1TSzP,inc,28292.18104,,28292.18104,B6h248NJkAcBAkaCnji889a26tCiGXGN8cxhEJ4dX391,WATER,,,,
TokenChange,4NLwN1HL3vRXc6Pt1mrm7PwhfZ4LbRafNYy2N9Sqsu1F3mVPJrGRyARx4EUZdFo4HMTuvehMAHEGu4UDu41HhUdL,1719328944,2024-06-25T15:22:24,0.000018437,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,inc,2108323.711,0,2108323.711,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,4trDjk9y6KwCb7iZKRwAaDUGMuJB8ZGWUW1c7YzDGku71UvRpTfKdHwMBpnGXftKsbnnfkfUnaS62FS5xawMnkrW,1719328918,2024-06-25T15:21:58,0.000018142,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,-1155957.808,1155957.808,0,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,4aiNWrbNQgn6UqSq9ve1aYh7bM1pGX9Z3XLbY967ReEDTfk28hbpHBhYTH2YnQxC5ja4ygZwFRyfNjf8PTBwtUPi,1719326815,2024-06-25T14:46:55,0.000018431,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,inc,1155957.808,0,1155957.808,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,53ZdrZermKhxn5cGKnDYocRqQtPsrw62rc6hHSCoUuDLc9VCFJWEiixGTpDvLV5vo9CnycSzEXMER14AQcXTfFiu,1719326560,2024-06-25T14:42:40,0.000824969,DputpdTmkZ5Ro2RGir8FjM5CGLtjnBN1KDaa5rT1u7XG,dec,-5885627.149,5885627.149,0,3dgh2dUQpjb3CSkXx1Wua3wqAPx98dZjpieexvzRpump,SMOKE PURPP,,,,
TokenChange,2ZUhhWCitUov57hQCttYD7nxFioqipRYuBFSJECwbVuD3q5iAeYAz9Pro5hnYmDCYR5HGt7wwGMmWiEYsnAckkvx,1719326360,2024-06-25T14:39:20,0.000018432,DputpdTmkZ5Ro2RGir8FjM5CGLtjnBN1KDaa5rT1u7XG,inc,2926971.073,2958656.077,5885627.149,3dgh2dUQpjb3CSkXx1Wua3wqAPx98dZjpieexvzRpump,SMOKE PURPP,,,,
TokenChange,46a9fi7HSYa7X3Gc23jjFwsrMQRh5stJdu9yoPDEw7mdyK7cxNG7n65jPq5qb9kib6CR4vr9u1srqhroXhNU8VYn,1719326278,2024-06-25T14:37:58,0.00002135,DputpdTmkZ5Ro2RGir8FjM5CGLtjnBN1KDaa5rT1u7XG,inc,2958656.077,,2958656.077,3dgh2dUQpjb3CSkXx1Wua3wqAPx98dZjpieexvzRpump,SMOKE PURPP,,,,
TokenChange,5dMTR53xvvqFNUn5nczKunqr6beT9KA3RjDu4BEDN3gx4tRujj8nX4Ngmu6DKumd3v9n5gaicufkxrzgRspw5MUt,1719326248,2024-06-25T14:37:28,0.001005,7fvNXsQfUyG8LxeNTRWpDCWmhoz8LT4PWq9pbp4ACQ5D,dec,-15633.92289,15633.92289,0,6SUryVEuDz5hqAxab6QrGfbzWvjN8dC7m29ezSvDpump,Jason Derulo,,,,
TokenChange,3A448kqUfdradY4CGCoQLMnnVn1YP4TzPJoBfmT8BnvxyDDZk4L3YgN7ziouXHsCQCBhH4hX2g58CahvEvHCYXso,1719326227,2024-06-25T14:37:07,0.001005,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,dec,-1517419.242,1517419.242,0,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,2hC41tUckecVu3zQpscnMQsfs39tUFHnhAZKhMHaPs9RyuDwW8yM3PfbeFU778oR413zWvaj1qu5Xzz8XXpdDKRJ,1719325197,2024-06-25T14:19:57,0.000005008,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,inc,488225.4345,1029193.808,1517419.242,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,5Vic5Da4TXSLjMp352VDz8sFqiFPYcMFjgqcQ4saGntQqLvvMcHJF8Gg5DpyvB3WcHWZiEHZpKbhsin5LgwDp6Kf,1719325092,2024-06-25T14:18:12,0.000425,F17SHQ3VrAFhS9Cz4frWKhwEQq9HND5Xorqzt3ZLy1qi,dec,-175784.9215,175784.9215,0,2m2DgWaD2r2mrYQxDz9o9KZtahK91dvgEXAWUmHppump,Adin Ross,,,,
TokenChange,5CdrCV64vqosGQTDirX3LxchexnZfmv3p1GchZ3UgKM3Nq9sBZTBhnbunQJRNqr6o7wgurPXU88h8EdjF4ga2usD,1719325058,2024-06-25T14:17:38,0.000425,CbYKRKrudHHmHr1jfbvV19gA8YLqmUVygmRgQmZtzGyq,dec,-389059.4857,389059.4857,0,G2sVhbVDLmeHfHJ9o6BFRTXwk2NwWYxyo3JHmqQEpump,Adin Ross,,,,
TokenChange,474zoKntrYNN3GLstFQuajJ6gbCPjpCaHmidP2v8f1Xzmi5894Q7LANm7xz2d93JBTeMz8eXLkFNg8Tim9cjT3Kb,1719313908,2024-06-25T11:11:48,0.000046291,9HPeAN2PXao8Zquow2oFdAKtohUnwntvNsgnD3MMJT81,inc,1500,1500,3000,4CfSssjL3opCn5crmQexyMXoRJuL1BWd1JKAcgBmUYcB,Grumpy Cat,,,,
TokenChange,2otc6tVzz6Q8SXxzwkS1ov5oHuMPmsHH2pQnA2Lz4kcNGG2WukD4C7SpUEpPmBt7LQRuHkpLzFGjZaJKAyZA6JN7,1719312183,2024-06-25T10:43:03,0.000059866,9HPeAN2PXao8Zquow2oFdAKtohUnwntvNsgnD3MMJT81,inc,1500,,1500,4CfSssjL3opCn5crmQexyMXoRJuL1BWd1JKAcgBmUYcB,Grumpy Cat,,,,
TokenChange,5MQXtqZLmmSHiXijSuKWNvdkQ3hYqboN1m8JUEsM9mp8QdXUnY6UrhDoHXVq6wKAxPEasT1aAEwQ9kGMGgtX4GVZ,1719307534,2024-06-25T09:25:34,0.000085619,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,inc,1029193.808,0,1029193.808,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,5WY3Edd7aWsAeTpY2duZCXZNRns2WUStFhV3PLYPb4RiUUeiiBnTKoLZNdVKgEBwnFygCYvYFDyYYJasgeoC9DTB,1719307475,2024-06-25T09:24:35,0.000357926,7fvNXsQfUyG8LxeNTRWpDCWmhoz8LT4PWq9pbp4ACQ5D,inc,15633.92289,,15633.92289,6SUryVEuDz5hqAxab6QrGfbzWvjN8dC7m29ezSvDpump,Jason Derulo,,,,
TokenChange,saLtZTEJq48bFePyk21RbnmEfKYMxQc9zpJaDSvV2H5w1K3djVPqthcsGYxV9jdhvmcYuc8eWUrrmsPFpoNBY6n,1719307432,2024-06-25T09:23:52,0.000018431,F17SHQ3VrAFhS9Cz4frWKhwEQq9HND5Xorqzt3ZLy1qi,inc,175784.9215,0,175784.9215,2m2DgWaD2r2mrYQxDz9o9KZtahK91dvgEXAWUmHppump,Adin Ross,,,,
TokenChange,ZGRFd7Xw5BEgUqMxrk4edgv1Vy2XWQcj26YeQgcfwPtodarrqk4ZDgTuvUJ6UbzPi48PugTak7voqEWGEkAfsDb,1719307386,2024-06-25T09:23:06,0.000021162,CbYKRKrudHHmHr1jfbvV19gA8YLqmUVygmRgQmZtzGyq,inc,389059.4857,,389059.4857,G2sVhbVDLmeHfHJ9o6BFRTXwk2NwWYxyo3JHmqQEpump,Adin Ross,,,,
TokenChange,VSZpunwWuaPBUjixnHRppYvpbUS7T2ckb7bVdDPCCdb29VUgkEci66NPheU755XZ45N3nwaLWbErV5wPxiCt9kV,1719307253,2024-06-25T09:20:53,0.000105,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,-1341870.215,1341870.215,0,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,4eUJPNHqBpE25VpdDc6RUgaJCBvFVPVVX3CXq1gQ4mrvQxBtU3JvYCndGRhg494ZskujqcJYQguJSFF56UWPMofM,1719303276,2024-06-25T08:14:36,0.000027185,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,inc,72567.88624,1269302.329,1341870.215,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,34shPDFErr3cUHWHcRmG3gD8wZUBBtqMwafUT5Gi54aZARoTeNKaa24c3JjCSHeKVUv6rTaJJzd2riDM9XAUkfhT,1719301867,2024-06-25T07:51:07,0.000038867,2PKAxUXADxRKZHXf1hGwGXnRQCKxietfu9BRxRoQ8XUk,inc,2000,,2000,6znB8CtoRwdJ8piFX2ncfUZra7uRpYfZwxZURNhziMUn,Deddy Elon,,,,
TokenChange,2YvaxavkfxdJa4DPmJvmHQ9pPpMitWGENac11at21KFrYReLfzaCn9sr3QrfgtpVm15pcVmpfdvaLNbN6c854Svh,1719301150,2024-06-25T07:39:10,0.00003299,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,716152.3456,553149.9833,1269302.329,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,3hAtju8nAudX9oi6Y7Ms1xVqU4yYRxaiortx5NGPfnSaLVjPZKNSg88bvh3ASmWr1zTWXb7Y5fMwQabSXXD5o41s,1719301107,2024-06-25T07:38:27,0.000192729,5SpkRDsrZMhRYy5HGU2DK8RwuZStcSkDb6MMjmYAdihn,dec,-3944.503024,3944.503024,0,3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,MOTHER IGGY,,,,
TokenChange,dYcZUC2Qmiu3VgTmzCKFVUqQ16JAhMzf74HLEEMCxnokneHqY53jqExEGSbQWe1gipmYwmmb6hbPMhPrbRwSdb1,1719300323,2024-06-25T07:25:23,0.000108658,5SpkRDsrZMhRYy5HGU2DK8RwuZStcSkDb6MMjmYAdihn,inc,3944.503024,0,3944.503024,3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,MOTHER IGGY,,,,
TokenChange,3jepTZsKTpSA2An2HJpPEwAmCs5oetn9SPHPyQJgqFH6gdqx8ziz7sDdNzcwwhbuSk4r7nbe5ZAAXV9BrS1GdGjT,1719300214,2024-06-25T07:23:34,0.00000871,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,inc,553149.9833,0,553149.9833,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
TokenChange,hf8tW8HRB4S6B6CpNiftNtmxq48CzqrizhYybhpshpuCzgciEMei23fHc7oD8Asxh47E2WiXS5r4qrxLQoQR4eC,1719299930,2024-06-25T07:18:50,0.000598192,BG7C4oT8ePwPSaGvnc2eTbYWogX8H9t8DxuB4SZxWm5U,dec,-193068.8387,193068.8387,0,Fc6kEQX9K4T5HDLGBDf5K5hQNTLf7T5B5eGLqxcnpump,KAI CENAT,,,,
TokenChange,3UM8ofEYd593F2jBuNXKrmTbXPpjQutDUw63zecQAf53hovSjN9iWRwUHYQr6SFoM89eFhf452aVDA5k7N4hETpF,1719299175,2024-06-25T07:06:15,0.000005,BG7C4oT8ePwPSaGvnc2eTbYWogX8H9t8DxuB4SZxWm5U,inc,193068.8387,,193068.8387,Fc6kEQX9K4T5HDLGBDf5K5hQNTLf7T5B5eGLqxcnpump,KAI CENAT,,,,
TokenChange,4ZnccmgAzywHnKGmfvcTxp9SbReiEoWAcoc8jHdm69NWQPx2FdrAHYnB4M5xp9ERTRiLNQfLWXAmNGnPgvLCRZVZ,1719296458,2024-06-25T06:20:58,0.000030912,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,-650904.0841,650904.0841,0,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
